"chamber","month","year","leaf","type","Photo","Cond","Ci","Trmmol","VpdL","CTleaf","xsi","Delta","Ci.Ca","gm","gm.bar.1.","id","temp","ID","drydown","Cc"
"ch01","Oct",2013,"sun","high",10.05736128,0.069819816,137.0960639,1.135415017,1.659755726,23.17787361,"20.74416298",7.333342923,0.36146132,0.167454363,0.164761552,"ee","ambient","sun-high","control",77.0357519450347
"ch01","Oct",2013,"sun","high",10.38899113,0.071760344,135.2794235,1.169884042,1.664894389,23.23302841,"20.24737316",9.482976315,0.357147036,0.393727959,0.387395687,"ee","ambient","sun-high","control",108.893207097217
"ch01","Oct",2013,"sun","high",10.5082298,0.073061489,136.4481836,1.190658813,1.665029435,23.24264908,"19.71784994",9.959916433,0.360495003,0.514426874,0.506144678,"ee","ambient","sun-high","control",116.021121307761
"ch01","Oct",2013,"sun","high",10.67817562,0.074719228,137.5666708,1.222587906,1.672417732,23.31034279,"19.38124358",9.461364579,0.363664228,0.368678864,0.362774398,"ee","ambient","sun-high","control",108.603319052231
"ch01","Oct",2013,"sun","high",10.76112784,0.075663406,138.417699,1.220591107,1.649650362,23.1558075,"19.1045978",9.110201904,0.366200738,0.30570576,0.30080772,"ee","ambient","sun-high","control",103.216766443152
"ch01","Apr",2014,"sun","high",10.32042408,0.085859089,193.6560472,0.98328775,1.169075754,21.43840599,"19.07432357",9.522938021,0.488408175,0.131715907,0.130327076,"c","ambient","sun-high","control",115.302381989313
"ch01","Apr",2014,"sun","high",9.246701524,0.061928294,149.0568185,0.830301125,1.356455819,22.461689,"19.59265962",10.79219958,0.374138721,0.536366652,0.530721901,"c","ambient","sun-high","control",131.81730241614
"ch01","Apr",2014,"sun","high",9.345957893,0.057880975,129.6648991,0.776936344,1.355942692,22.53740311,"20.09699413",8.500321619,0.325552861,0.267937093,0.265120271,"c","ambient","sun-high","control",94.7837343148017
"ch01","Apr",2014,"sun","high",9.126912891,0.054162993,119.178503,0.721381867,1.343561115,22.56506348,"20.38583737",8.910422141,0.298839982,0.481923665,0.476848527,"c","ambient","sun-high","control",100.239999760073
"ch01","Apr",2014,"sun","high",8.905368568,0.050982566,109.9619309,0.668108853,1.320230291,22.62538338,"21.45993326",9.015454815,0.275485425,1.015989711,1.005285315,"c","ambient","sun-high","control",101.196715591634
"ch01","Apr",2014,"sun","high",8.928553282,0.050527891,106.7512968,0.657746934,1.311215356,22.60765839,"21.72406336",6.374357705,0.267456181,0.191668964,0.189650713,"c","ambient","sun-high","control",60.1680988963478
"ch01","Dec",2013,"shade","low",11.84854567,0.120435229,207.5583277,1.200752695,1.01884242,23.88595963,"17.57760844",13.81034723,0.552747289,0.44262035,0.440429092,"y","ambient","shade-low","control",180.789233893084
"ch01","Dec",2013,"shade","low",11.98190104,0.123672677,209.7417629,1.227209541,1.015100709,23.88269234,"17.45746385",11.41521706,0.558783779,0.1860812,0.185164883,"y","ambient","shade-low","control",145.351050458335
"ch01","Dec",2013,"shade","low",11.98950984,0.1270605,213.6238496,1.260902267,1.016255959,23.90903854,"17.27245183",14.74931283,0.569301438,0.648193881,0.645016141,"y","ambient","shade-low","control",195.127053824169
"ch01","Dec",2013,"shade","low",12.07164456,0.130834916,216.7999039,1.298464035,1.017627633,23.93999672,"17.14341938",14.91885791,0.577926184,0.638067582,0.63491124,"y","ambient","shade-low","control",197.880834979178
"ch01","Dec",2013,"sun","high",17.1675911,0.172254459,190.1827556,2.072755795,1.250063271,24.56563377,"11.17746414",12.69539011,0.523149718,0.498195846,0.496122323,"y","ambient","sun-high","control",155.723232828307
"ch01","Dec",2013,"sun","high",17.40381921,0.173227418,188.6356607,1.997108286,1.198410178,24.26827621,"11.76226469",10.06406108,0.519464526,0.247883447,0.246852847,"y","ambient","sun-high","control",118.425973765963
"ch01","Dec",2013,"sun","high",17.60791339,0.176502587,189.5224209,1.957987585,1.154643074,24.02958107,"11.64411645",11.04981694,0.522395418,0.305762267,0.304489827,"y","ambient","sun-high","control",131.935480684123
"ch01","Dec",2013,"sun","high",17.80159232,0.181735807,192.0605511,1.947764952,1.117596143,23.84527206,"11.50130539",12.62394818,0.529986983,0.464792191,0.462875843,"y","ambient","sun-high","control",153.760440502832
"ch01","Dec",2013,"sun","high",17.95068072,0.186830035,194.7240414,1.942883473,1.086363597,23.67743492,"11.37986405",11.88631968,0.537905323,0.350505481,0.349066758,"y","ambient","sun-high","control",143.510346627564
"ch01","Feb",2014,"shade","low",10.59412994,0.104851482,226.5213,0.809682674,0.796,21.93456268,"19.93777792",12.60376906,0.570194364,0.178081228,0.175127054,"q","ambient","shade-low","control",167.030863759298
"ch01","Feb",2014,"sun","high",12.29006581,0.120715265,217.1663,1.918260321,1.649,23.47951126,"18.37026494",9.015893611,0.551121302,0.114738652,0.112896166,"q","ambient","sun-high","control",110.052737170275
"ch01","Feb",2014,"sun","high",12.73916407,0.120524307,209.781,1.863746701,1.605,23.24925423,"19.39197798",14.17193544,0.534109362,0.521052962,0.512694184,"q","ambient","sun-high","control",185.332114763647
"ch01","Feb",2014,"sun","high",12.76639958,0.120496573,209.3423,1.843352553,1.588,23.16217613,"17.13710232",10.51505936,0.53314836,0.162836069,0.160224066,"q","ambient","sun-high","control",130.941982070439
"ch01","Feb",2014,"sun","high",12.57920432,0.116599837,207.354,1.739651508,1.547,22.88930702,"16.77796187",11.40014411,0.527002602,0.19842364,0.195244057,"q","ambient","sun-high","control",143.958306220771
"ch01","Feb",2014,"sun","high",12.43460043,0.114464928,206.5954,1.698809297,1.538,22.82522202,"16.832989",9.209501687,0.524646894,0.1305859,0.128497058,"q","ambient","sun-high","control",111.37378396029
"ch01","Mar",2014,"shade","low",9.565258951,0.08176899,197.1416204,1.097475497,1.371601662,25.92396355,"18.41734341",10.99575038,0.498534912,0.17728794,0.173800682,"k","ambient","shade-low","control",143.188379412486
"ch01","Mar",2014,"sun","high",13.27243446,0.151899907,238.6214247,2.181078352,1.501326612,26.61498451,"15.9908175",12.32641041,0.608097684,0.179855872,0.176331264,"k","ambient","sun-high","control",164.826589355397
"ch01","Mar",2014,"sun","high",13.23085064,0.117446585,197.8929798,1.833567232,1.61244609,27.21528435,"15.9467483",9.681936008,0.504632678,0.173072068,0.169678777,"k","ambient","sun-high","control",121.445920532181
"ch01","Mar",2014,"sun","high",13.10292112,0.111891268,191.7408092,1.667824403,1.536761066,27.00303459,"15.81843361",10.93122927,0.488347927,0.251804774,0.246862717,"k","ambient","sun-high","control",139.704777825948
"ch01","Mar",2014,"sun","high",12.80369015,0.107391014,189.5873056,1.487106878,1.425537404,26.71761894,"15.90427833",11.64703436,0.482178864,0.32753534,0.321108803,"k","ambient","sun-high","control",150.496286749942
"ch01","Mar",2014,"sun","high",12.78960557,0.105281731,186.5092795,1.363129857,1.331925472,26.50192642,"16.27684646",11.19360995,0.474285929,0.296071957,0.290254575,"k","ambient","sun-high","control",143.311653829562
"ch01","Jan",2014,"shade","low",12.43453447,0.213841969,287.957528,2.211092276,1.098606829,26.15131187,"11:21:00",17.53307872,0.733,0.206672024,0.203,"v","ambient","shade-low","control",227.791985371937
"ch01","Jan",2014,"shade","low",12.48508625,0.21547814,288.1915444,2.197756487,1.084232594,26.09751129,"11:23:00",17.46638978,0.734,0.311383761,0.306,"v","ambient","shade-low","control",248.096048700724
"ch01","Jan",2014,"sun","high",16.22919969,0.159267795,205.7488215,2.822229036,1.849017953,27.34593201,"12:25:00",14.01572846,0.534,0.20725721,0.204,"v","ambient","sun-high","control",127.444188865024
"ch01","Jan",2014,"sun","high",16.48921628,0.156687682,200.1390427,2.72129588,1.811042787,27.14042091,"12:27:00",13.30681946,0.52,0.241178002,0.238,"v","ambient","sun-high","control",131.769555668592
"ch01","Jan",2014,"sun","high",16.18580702,0.151452024,198.4204274,2.617622956,1.799481789,27.02606583,"12:29:00",13.04060725,0.514,0.292589318,0.288,"v","ambient","sun-high","control",143.101227332689
"ch01","Jan",2014,"sun","high",15.63625715,0.141960698,194.6661566,2.455403084,1.795336317,26.93997192,"12:31:00",12.91637752,0.503,0.240252937,0.237,"v","ambient","sun-high","control",129.583675839317
"ch01","Jan",2014,"sun","high",15.59782092,0.141121009,194.2176931,2.420419725,1.779767025,26.87891769,"12:33:00",13.18274721,0.502,0.286445841,0.282,"v","ambient","sun-high","control",139.764743580653
"ch01","Apr",2014,"shade","low",9.015476656,0.064352779,164.2477398,0.674423781,1.061808496,21.17463303,"20.58641783",9.509056969,0.413150254,0.175586532,0.173738585,"c","ambient","shade-low","control",112.902818561963
"ch01","Feb",2014,"shade","high",16.59309448,0.171077497,215.7265753,2.220367401,1.372,21.98253059,"13.36597601",12.95691571,0.55962815,0.317138932,0.311910167,"q","ambient","shade-high","control",163.405359562287
"ch01","Mar",2014,"shade","high",16.49791996,0.173581063,218.5486396,2.317591665,1.407713116,25.79952049,"13.0416224",10.80641827,0.567118958,0.200970364,0.197046438,"k","ambient","shade-high","control",136.457332047808
"ch01","Dec",2013,"shade","high",17.84764456,0.192158649,199.239294,2.283783324,1.244348639,24.27406311,"11.47993492",12.35690355,0.550228424,0.368973715,0.36718424,"y","ambient","shade-high","control",150.868247948657
"ch01","Dec",2013,"shade","high",17.87855225,0.193676579,200.5528053,2.143214012,1.159873481,23.71801758,"11.39242195",12.36831012,0.553787082,0.358653378,0.356912438,"y","ambient","shade-high","control",150.703693743605
"ch01","Dec",2013,"shade","high",17.93550339,0.201475826,205.5918656,2.195426833,1.144880021,23.75841331,"11.31784482",12.79003256,0.568051614,0.369462692,0.367676234,"y","ambient","shade-high","control",157.047036099326
"ch01","Dec",2013,"shade","high",18.03090279,0.203762851,206.1566139,2.233343222,1.152139749,23.90213585,"11.27838853",13.06017119,0.56992895,0.398430132,0.396519925,"y","ambient","shade-high","control",160.901746504579
"ch01","Dec",2013,"shade","high",18.09340339,0.205485416,206.5420094,2.238263495,1.145493974,23.93312263,"11.87747449",10.82018233,0.571490816,0.236032586,0.234910742,"y","ambient","shade-high","control",129.885630310038
"ch01","Dec",2013,"shade","low",11.74554139,0.117103146,204.7439749,1.177682315,1.026535016,23.90464973,"17.72268243",12.80489437,0.544928533,0.30129195,0.299804365,"y","ambient","shade-low","control",165.760054519784
"ch01","Mar",2014,"shade","low",9.535024618,0.08041516,194.7367433,1.088349315,1.382189249,26.04689026,"18.25799162",12.00955754,0.492257851,0.265751207,0.260523465,"k","ambient","shade-low","control",158.857227546756
"ch01","Mar",2014,"shade","low",9.545542661,0.080824673,195.5459262,1.077502748,1.362057971,25.87995338,"18.2804037",13.22899406,0.494337711,0.531956358,0.521466593,"k","ambient","shade-low","control",177.601704803928
"ch01","Feb",2014,"shade","high",16.60405105,0.168060171,212.7498709,2.265662524,1.423,22.34267044,"14.12814554",11.24901811,0.551712669,0.224538595,0.220824646,"q","ambient","shade-high","control",138.802445291498
"ch01","Feb",2014,"shade","high",16.13423524,0.16323231,213.044937,2.275655856,1.469,22.63006783,"13.80359558",10.47151561,0.551951009,0.189678712,0.186544032,"q","ambient","shade-high","control",127.984072394382
"ch01","Feb",2014,"shade","high",16.42577187,0.167471748,214.0255957,2.228075136,1.405,22.20190239,"13.59936248",10.53747538,0.555070488,0.192323408,0.189144027,"q","ambient","shade-high","control",128.61856157548
"ch01","Mar",2014,"shade","high",16.42790707,0.153292835,198.4157616,2.311738916,1.578208032,26.57163239,"12.91683693",12.13899094,0.51513348,0.372325336,0.36504813,"k","ambient","shade-high","control",154.293308783628
"ch01","Mar",2014,"shade","high",16.48771668,0.153037491,197.6773964,2.214501097,1.515196779,26.09341812,"12.86134726",12.06411222,0.513359033,0.366405806,0.359249351,"k","ambient","shade-high","control",152.678882702867
"ch01","Mar",2014,"shade","high",16.44286289,0.156182251,201.9226474,2.19013874,1.470533909,25.78249359,"12.74940569",10.83594475,0.524203118,0.245917898,0.241106528,"k","ambient","shade-high","control",135.059425878808
"ch01","Mar",2014,"shade","high",16.32238721,0.156149063,203.1584846,2.233726492,1.499859438,25.91503716,"12.80214759",12.51883364,0.527227804,0.376372193,0.369024779,"k","ambient","shade-high","control",159.790808896073
"ch01","Mar",2014,"shade","low",9.462906683,0.086332007,209.2409006,1.185781926,1.404735241,26.38028336,"19.1114435",12.800663,0.528377562,0.263113007,0.25794268,"k","ambient","shade-low","control",173.275720501549
"ch01","Mar",2014,"shade","low",9.310837323,0.082095226,203.2359149,1.159489398,1.442334347,26.49330139,"18.76516608",9.914655893,0.513051756,0.12377025,0.121337129,"k","ambient","shade-low","control",128.009135257881
"ch01","Apr",2014,"shade","high",15.6868213,0.135595623,189.7948456,1.329853115,1.01813343,20.82155228,"13.5211675",12.28016062,0.490203957,0.409912637,0.405690236,"c","ambient","shade-high","control",151.526151531903
"ch01","Apr",2014,"shade","high",15.78662487,0.135035255,187.8104823,1.353115361,1.039737712,21.05151939,"13.52660052",11.75493463,0.484953118,0.359344459,0.355660618,"c","ambient","shade-high","control",143.878749182612
"ch01","Jan",2014,"shade","high",20.93189493,0.330256114,256.9801702,4.041124513,1.35169449,25.9098835,"11:47:00",10.34294371,0.685,0.235352329,0.232,"v","ambient","shade-high","control",168.04161998918
"ch01","Jan",2014,"shade","high",20.91908281,0.333386091,258.0181912,4.052197522,1.343962445,25.88894653,"11:49:00",10.81923323,0.688,0.404312312,0.398,"v","ambient","shade-high","control",206.278280766602
"ch01","Jan",2014,"shade","high",20.9231993,0.336562337,258.9424895,4.069661155,1.3382851,25.88598061,"11:51:00",10.44684511,0.69,0.265992391,0.262,"v","ambient","shade-high","control",180.281595399462
"ch01","Feb",2014,"shade","low",10.03817374,0.082057278,194.381,0.720293697,0.898,22.15390778,"21.91185279",10.29029688,0.486895701,0.154043043,0.151502448,"q","ambient","shade-low","control",129.216267179187
"ch01","Feb",2014,"shade","low",10.28178961,0.090481419,207.4705,0.752006828,0.853,22.05758858,"21.10932965",11.11086728,0.520781067,0.158963206,0.156339012,"q","ambient","shade-low","control",142.790188947391
"ch01","Jan",2014,"shade","low",12.36219968,0.21319606,288.3732496,2.229524857,1.110940445,26.15840912,"11:17:00",17.69161325,0.733,0.175542155,0.173,"v","ambient","shade-low","control",217.950280940421
"ch01","Jan",2014,"shade","low",12.35478305,0.212362812,288.0365931,2.20670112,1.10361018,26.13064575,"11:19:00",17.45923069,0.733,0.22286186,0.219,"v","ambient","shade-low","control",232.599637445049
"ch01","Feb",2014,"shade","low",10.05689581,0.082746306,195.8609,0.769806516,0.952,22.3187542,"22.6144902",10.77946118,0.489997959,0.171026148,0.168209784,"q","ambient","shade-low","control",137.05763554245
"ch01","Jan",2014,"shade","high",20.90673202,0.323170991,254.7815095,4.040917005,1.378123463,26.02764893,"11:43:00",10.56448055,0.679,0.233278585,0.23,"v","ambient","shade-high","control",165.160201054563
"ch01","Apr",2014,"shade","high",15.52692803,0.14862147,208.3851519,1.571856646,1.101972119,21.51466942,"13.8420314",12.05216951,0.536650717,0.269901658,0.267132244,"c","ambient","shade-high","control",150.857057611672
"ch01","Apr",2014,"shade","high",15.79773664,0.127565302,176.6300385,1.289676815,1.046692668,20.89912796,"13.66500808",12.19361703,0.456254595,0.570669457,0.564807775,"c","ambient","shade-high","control",148.947224138341
"ch01","Feb",2014,"shade","high",16.65440868,0.174653557,218.2623419,2.257691664,1.368,22.01173973,"13.28498228",10.404992,0.566269352,0.182396726,0.179393844,"q","ambient","shade-high","control",126.95363781723
"ch01","Feb",2014,"shade","low",10.42464448,0.098710864,219.9805,0.789616576,0.823,22.03294945,"20.44184328",10.99495492,0.55263897,0.133937037,0.131720741,"q","ambient","shade-low","control",142.148074305829
"ch01","Jan",2014,"shade","high",20.95394495,0.327042994,255.7773772,4.035679466,1.361763224,25.94775009,"11:45:00",10.40725278,0.682,0.239704144,0.236,"v","ambient","shade-high","control",168.361512791748
"ch02","Mar",2014,"sun","high",17.91744161,0.193145026,214.3120498,3.69046902,2.009453061,30.79687119,"12.00981109",12.65190792,0.562480977,0.380916243,0.373722445,"l","elevated","sun-high","control",167.274303473178
"ch02","Mar",2014,"sun","high",17.82866241,0.194235878,215.8509309,3.75045225,2.030836956,30.90975571,"11.91860377",13.45725365,0.566427854,0.489416272,0.480210923,"l","elevated","sun-high","control",179.422509063629
"ch02","Oct",2013,"sun","high",16.42236254,0.15736812,185.1942402,1.844055604,1.227928941,24.3508606,"12.34939381",13.08856037,0.506695976,0.63879642,0.62791997,"ee","elevated","sun-high","control",159.485951884921
"ch02","Mar",2014,"sun","high",17.82339305,0.197155662,218.1751483,3.846401127,2.053262706,31.09269333,"12.33018055",11.76414338,0.57214219,0.28257185,0.277245422,"l","elevated","sun-high","control",155.099533903166
"ch02","Mar",2014,"sun","high",17.4615593,0.187916053,214.2526816,3.851141439,2.149263119,31.46304512,"12.08373766",12.45591395,0.561348006,0.357951756,0.351202485,"l","elevated","sun-high","control",165.470802457605
"ch02","Mar",2014,"shade","low",10.54536001,0.207459288,299.2781455,3.057458686,1.552594745,30.92875099,"18.38739506",18.18678531,0.758848374,0.493681337,0.484504684,"l","elevated","shade-low","control",277.917483834963
"ch02","Dec",2013,"sun","high",16.84422518,0.228462289,228.9801203,4.085013538,1.88214743,28.08595085,"12.13049572",13.31046137,0.628824067,0.27981879,0.278986781,"bb","elevated","sun-high","control",168.783215081448
"ch02","Dec",2013,"sun","high",16.82539738,0.229686574,228.9343238,4.0877996,1.874491992,27.97117043,"12.08588237",14.45032826,0.630200158,0.374982398,0.373879631,"bb","elevated","sun-high","control",184.064491323223
"ch02","Oct",2013,"shade","low",9.805522752,0.081451088,177.3320813,0.857469293,1.075759501,23.76960564,"20.78704731",12.82664937,0.467298541,0.684625709,0.67282837,"ee","elevated","shade-low","control",163.009623608012
"ch02","Apr",2014,"shade","high",20.27672884,0.251966831,225.4435474,3.782747137,1.606808462,28.06225014,"9.742322391",12.97788239,0.606520649,0.343524268,0.339075404,"d","elevated","shade-high","control",166.417939229575
"ch02","Mar",2014,"sun","high",17.90108718,0.195173916,215.7195083,3.77998274,2.037710479,30.93391037,"11.91503847",11.16713392,0.566352798,0.255836884,0.251007322,"l","elevated","sun-high","control",145.748803137722
"ch02","Mar",2014,"sun","high",17.87124681,0.195630056,216.2395299,3.794707885,2.041029165,30.94404793,"11.87262275",11.78378133,0.567802277,0.291091576,0.285614986,"l","elevated","sun-high","control",154.845630922999
"ch02","Oct",2013,"shade","high",14.92581215,0.141785288,186.3320251,1.859328409,1.369261826,23.88083458,"13.75304669",12.54588335,0.506296592,0.473845521,0.465747634,"ee","elevated","shade-high","control",154.832704143034
"ch02","Apr",2014,"shade","low",10.48429066,0.144551326,264.4202086,2.551012844,1.824932272,28.10643387,"18.63700252",15.82827651,0.669003668,0.293845361,0.290057018,"d","elevated","shade-low","control",228.740589141927
"ch02","Apr",2014,"sun","high",8.131471208,0.07780348,219.8993881,1.542117748,2.003287603,28.62981415,"22.67684191",10.31014046,0.548212228,0.104613443,0.103260411,"d","elevated","sun-high","control",142.170647177096
"ch02","Oct",2013,"shade","low",9.88270185,0.084619835,182.7744507,0.899872576,1.087562201,23.94742393,"20.68198461",13.11028593,0.481861907,0.662951187,0.651536132,"ee","elevated","shade-low","control",167.867317197877
"ch02","Apr",2014,"sun","high",8.241120841,0.075822422,213.5408265,1.39736493,1.863340396,27.87117958,"23.04196233",12.18472891,0.532942374,0.192883234,0.190384768,"d","elevated","sun-high","control",170.814869089933
"ch02","Apr",2014,"sun","high",8.236741228,0.076505964,215.111748,1.414746486,1.869900496,27.90313148,"23.09413135",12.76027942,0.536889442,0.237386875,0.234327735,"d","elevated","sun-high","control",180.414205315721
"ch02","Apr",2014,"sun","high",8.28955516,0.076571327,214.0906284,1.416044125,1.870042658,27.89731407,"23.03681921",12.45347645,0.53441373,0.212967298,0.210227533,"d","elevated","sun-high","control",175.166553023883
"ch02","Dec",2013,"shade","low",9.280453765,0.168045593,279.284666,2.519974698,1.547147557,27.95680809,"21.9277975",15.788316,0.734113037,0.168925877,0.168219078,"bb","elevated","shade-low","control",224.346642709465
"ch02","Dec",2013,"sun","high",16.31808639,0.219926126,228.6307681,4.160993887,1.984196695,28.69820786,"12.43426724",14.63484882,0.626734133,0.403199579,0.4020112,"bb","elevated","sun-high","control",188.159281422183
"ch02","Dec",2013,"sun","high",16.63588215,0.225445081,228.4666526,4.15162559,1.935276376,28.48004532,"12.33568775",13.58458777,0.627867042,0.299490296,0.298603725,"bb","elevated","sun-high","control",172.919336469263
"ch02","Dec",2013,"sun","high",16.77650238,0.227751383,228.7289232,4.104068418,1.895971859,28.23706818,"12.20014872",13.58555535,0.628706552,0.299124861,0.298219613,"bb","elevated","sun-high","control",172.643640539392
"ch02","Feb",2014,"shade","low",10.84917167,0.204152103,294.7807566,3.552617853,1.814,31.68021965,"19.58509644",16.89017405,0.745827542,0.230146267,0.227768093,"n","elevated","shade-low","control",247.640423578652
"ch02","Feb",2014,"shade","low",10.99815265,0.204001485,293.052175,3.687214152,1.884,31.93141365,"19.1866094",18.92786826,0.741565123,0.774190742,0.766093838,"n","elevated","shade-low","control",278.846176331522
"ch02","Feb",2014,"sun","high",18.44589316,0.225689547,231.8891667,3.799514674,1.769,31.4398365,"12.17298432",10.93209714,0.609650059,0.205645599,0.203405058,"n","elevated","sun-high","control",142.191681075715
"ch02","Feb",2014,"sun","high",17.83470486,0.199195704,219.4622923,3.95539043,2.065,32.67039871,"11.95591552",11.15636089,0.575354733,0.240954083,0.238315345,"n","elevated","sun-high","control",145.445265329762
"ch02","Feb",2014,"sun","high",18.30535188,0.206221581,219.9126193,3.966423434,2.005,32.53766251,"11.80192145",12.09915841,0.57783233,0.298708095,0.295426493,"n","elevated","sun-high","control",158.630879077995
"ch02","Feb",2014,"sun","high",18.58449327,0.2094863,219.9743417,3.76933633,1.88,31.90638542,"11.60638404",11.23680359,0.578779911,0.249805086,0.247062708,"n","elevated","sun-high","control",145.578365350663
"ch02","Feb",2014,"sun","high",18.8605838,0.218725983,223.551167,3.79239721,1.817,31.7574501,"11.40005935",11.48359846,0.5890161,0.253722001,0.250937418,"n","elevated","sun-high","control",149.215540898738
"ch02","Mar",2014,"shade","low",10.45730777,0.200483593,297.3879477,2.942524515,1.543107789,30.86857224,"18.59282875",16.26021097,0.753827055,0.206713036,0.202837881,"l","elevated","shade-low","control",246.799421826866
"ch02","Oct",2013,"shade","high",14.8968388,0.132169821,174.9851948,1.770824214,1.394514034,23.94686317,"13.93171643",11.11049157,0.474773956,0.342362153,0.336498082,"ee","elevated","shade-high","control",131.473262568402
"ch02","Oct",2013,"shade","high",14.86055546,0.13710759,181.8884962,1.775701577,1.35046404,23.71655846,"13.91647241",11.73437226,0.493709209,0.360774456,0.354602407,"ee","elevated","shade-high","control",140.697787676002
"ch02","Oct",2013,"shade","high",14.7347478,0.140179499,187.0430357,1.816861552,1.352761466,23.76739311,"13.84110241",13.96510006,0.507807618,1.010708562,0.993426896,"ee","elevated","shade-high","control",172.464404080572
"ch02","Jan",2014,"shade","high",22.76460994,0.426048238,262.1773119,7.72247607,2.021855093,33.07155609,"12:30:20",9.649721653,0.711,0.325994184,0.323,"u","elevated","shade-high","control",192.345974234172
"ch02","Jan",2014,"shade","high",22.93759522,0.443763326,264.7557159,7.811289402,1.974244026,32.9600296,"12:31:40",9.617659615,0.718,0.381935012,0.378,"u","elevated","shade-high","control",204.699438001078
"ch02","Jan",2014,"shade","high",22.70224437,0.426286558,262.7390157,7.656050724,2.003862589,32.95756531,"12:33:00",9.486216681,0.712,0.31825483,0.315,"u","elevated","shade-high","control",191.405473425088
"ch02","Jan",2014,"sun","high",9.288046767,0.068083488,165.7582534,1.722984252,2.515467479,33.80828476,"11:38:20",23.60420562,0.414,0.154111774,0.152,"u","elevated","sun-high","control",105.490004414689
"ch02","Jan",2014,"sun","high",9.55966386,0.069826884,164.6605463,1.726904207,2.459815494,33.72389984,"11:39:40",23.15870413,0.412,0.153041819,0.151,"u","elevated","sun-high","control",102.1961563544
"ch02","Jan",2014,"sun","high",10.29303733,0.076576982,168.2635036,1.600267788,2.086350057,32.59889221,"11:43:40",21.38183078,0.423,0.138844498,0.137,"u","elevated","sun-high","control",94.1299406697642
"ch02","Apr",2014,"shade","high",19.57498415,0.22754367,218.8417497,3.42702053,1.600655724,27.66287231,"10.0828776",11.9505759,0.585834281,0.290847818,0.287070858,"d","elevated","shade-high","control",151.538565909225
"ch02","Apr",2014,"shade","high",19.76407828,0.23691381,222.2816699,3.587540622,1.613593366,27.88750458,"10.02367852",11.47954961,0.595898402,0.256599363,0.253264084,"d","elevated","shade-high","control",145.258570353178
"ch02","Apr",2014,"shade","high",19.89175875,0.243575839,224.3339351,3.735000684,1.636730463,28.14263344,"9.927946675",12.0267071,0.602314645,0.279875844,0.276242885,"d","elevated","shade-high","control",153.260424554374
"ch02","Apr",2014,"shade","low",10.05582936,0.156617014,278.4345011,2.666712984,1.767364106,28.15114403,"18.88818402",14.75448526,0.703772923,0.157394412,0.155347406,"d","elevated","shade-low","control",214.545134049282
"ch02","Apr",2014,"shade","low",10.53538828,0.157451248,273.6246592,2.558354943,1.688342381,27.65269279,"18.68961845",14.15568825,0.692951669,0.14871823,0.146775397,"d","elevated","shade-low","control",202.783389235988
"ch02","Apr",2014,"shade","low",10.42118373,0.153305514,271.9077273,2.567052575,1.737297111,27.82177734,"18.6980704",16.11476056,0.688296194,0.273028027,0.269456888,"d","elevated","shade-low","control",233.738811659702
