"Month","chamber","leaf","Trmmol","mid","pre","temp","drydown","leafK"
"Jan","ch04","sun",2.0242197528,16.9,3.7,"elevated","control",0.153349981272727
"Jan","ch05","shade",1.41120772383333,10.9,2.1,"ambient","control",0.16036451407197
"Jan","ch05","sun",0.967655309571429,16.8,2.6,"ambient","control",0.068144740110664
"Jan","ch06","shade",2.63074043557143,14.7,2.5,"elevated","control",0.215634461932084
"Jan","ch06","sun",1.59538614428571,19.9,2.6,"elevated","control",0.0922188522708506
"Jan","ch07","shade",2.20022220428571,17,3.1,"ambient","control",0.1582893672148
"Jan","ch07","sun",0.8903449776,14.8,3.5,"ambient","control",0.0787915909380531
"Jan","ch08","shade",2.3427638806,12.8,3.8,"elevated","control",0.260307097844444
"Jan","ch08","sun",0.6998315254,13.8,3.5,"elevated","control",0.0679448082912621
"Jan","ch09","shade",1.9163621912,12.8,3.5,"ambient","control",0.206060450666667
"Jan","ch09","sun",1.8617252842,21.8,4.5,"ambient","control",0.107614178277457
"Jan","ch10","shade",1.91505641542857,14.3,2.6,"elevated","control",0.163680035506715
"Jan","ch10","sun",2.08403473371429,13.8,2.5,"elevated","control",0.184427852541087
"Jan","ch11","shade",2.17097220357143,9.8,1.5,"ambient","control",0.261562916092943
"Jan","ch11","sun",1.65216629514286,14.8,2,"ambient","control",0.129075491808036
"Jan","ch12","shade",2.59760521771429,19.2,2.7,"elevated","control",0.157430619255411
"Jan","ch12","sun",1.09827482914286,16.5,2.8,"elevated","control",0.0801660459228363
"Mar","ch01","shade",1.10853615774194,19.1,3,"ambient","drought",0.0688531774994991
"Mar","ch01","sun",1.66723972845161,26,4.2,"ambient","drought",0.0764788866262208
"Mar","ch02","shade",2.89658038351613,15.1,1.8,"elevated","control",0.217787998760611
"Mar","ch02","sun",3.76130101983871,24.1,2.9,"elevated","control",0.177419859426354
"Mar","ch03","shade",1.27461824848387,8.8,1.8,"ambient","drought",0.182088321211982
"Mar","ch03","sun",4.02872131325806,16.1,2.5,"ambient","drought",0.296229508327799
"Mar","ch04","shade",1.28811252722581,11.1,4.4,"elevated","drought",0.192255601078479
"Mar","ch04","sun",2.18912580616129,14.7,5.1,"elevated","drought",0.228033938141801
"Mar","ch05","shade",2.141097488,15.8,1.3,"ambient","control",0.147661895724138
"Mar","ch05","sun",2.09907826654839,19.1,1.7,"ambient","control",0.120636681985539
"Mar","ch06","shade",0.863602968129032,18.8,6.8,"elevated","drought",0.0719669140107527
"Mar","ch06","sun",1.21757428358065,23.3,7.9,"elevated","drought",0.0790632651675744
"Mar","ch07","shade",1.77897218867742,11.4,1.4,"ambient","control",0.177897218867742
"Mar","ch07","sun",1.63570936890323,21.5,1.9,"ambient","control",0.0834545596379197
"Mar","ch08","shade",2.41160476696774,22.5,3.2,"elevated","drought",0.124953614868795
"Mar","ch08","sun",1.32990065210526,23.8,4.2,"elevated","drought",0.0678520740870032
"Mar","ch09","shade",2.29675052909677,11.9,3.4,"ambient","control",0.27020594459962
"Mar","ch09","sun",1.77609624329032,10.9,3.6,"ambient","control",0.24330085524525
"Mar","ch10","sun",2.26924848746667,17.2,2.5,"elevated","control",0.154370645405896
"Mar","ch11","shade",0.821923933741936,13.4,2.5,"ambient","drought",0.0754058654809115
"Mar","ch11","sun",2.11184022779487,17.1,2.8,"ambient","drought",0.14768113481083
"Mar","ch12","shade",2.04718285422581,8.5,1.4,"elevated","control",0.28833561327124
"Mar","ch12","sun",2.58637032874194,11.5,1.3,"elevated","control",0.253565718504111
"Oct","ch01","shade",1.7600384334,11.5,2.9,"ambient","control",0.204655631790698
"Oct","ch01","sun",1.187827377,10.4,2.8,"ambient","control",0.156293075921053
"Oct","ch02","shade",0.8942777448,10.6,2.8,"elevated","control",0.114650992923077
"Oct","ch02","sun",1.8033625714,19.3,3.6,"elevated","control",0.114863858050955
"Oct","ch03","shade",1.1111717888,10.8,4,"ambient","control",0.163407616
"Oct","ch03","sun",1.3237365324,11.2,4.2,"ambient","control",0.189105218914286
"Oct","ch04","shade",1.3488763642,22.1,3.8,"elevated","control",0.0737090909398907
"Oct","ch04","sun",1.4832230186,19.2,5.28,"elevated","control",0.106553377772989
"Oct","ch05","shade",0.3985292918,20.1,3.6,"ambient","control",0.0241532904121212
"Oct","ch05","sun",1.2720988256,15.1,3.8,"ambient","control",0.112575117309735
"Oct","ch06","shade",2.619275158,36.7,3.78,"elevated","control",0.0795648589914945
"Oct","ch06","sun",1.7071548306,12.8,3.79,"elevated","control",0.189473344128746
"Oct","ch07","shade",2.0876463286,32.4,2.21,"ambient","control",0.0691502593110302
"Oct","ch07","sun",2.0095957632,13.8,3.42,"ambient","control",0.193602674682081
"Oct","ch08","shade",0.7501668472,13.89,2.8,"elevated","control",0.0676435389720469
"Oct","ch08","sun",1.2306717198,11.9,2.4,"elevated","control",0.129544391557895
"Oct","ch09","shade",1.7962402108,18.8,3.43,"ambient","control",0.116866637007157
"Oct","ch09","sun",2.257634877,18.8,2.15,"ambient","control",0.135593686306306
"Oct","ch10","shade",1.5169132182,11.5,2.3,"elevated","control",0.164881871543478
"Oct","ch10","sun",1.8612304782,8,2.4,"elevated","control",0.332362585392857
"Oct","ch11","shade",2.1482027756,21.6,3.5,"ambient","control",0.118685236220994
"Oct","ch11","sun",1.2588644488,10,4.45,"ambient","control",0.226822423207207
"Oct","ch12","shade",1.9311944702,23,2.2,"elevated","control",0.0928458879903846
"Oct","ch12","sun",2.6361394482,21.37,3.12,"elevated","control",0.144445997161644
